CODIGO;NOME;CLASSIFICACAO;NUMERO_REVISAO;ULTIMA_REVISAO;DATA_APROVACAO;PROXIMA_REVISAO;DATA_VALIDADE;PASTA;AUTOR;DOCUMENTOS_CONTROLADOS;MATRIZ;SUB_AREA
DOC.090;Montagem de Garra - Gabarito;Documentos;1;2024-09-18;2024-10-16;2025-10-16;2026-01-14;01-Pré-Inspeção - Preparação;Rodrigo Lima;Sim;;
DOC.092;Padrão de Envio de Fotos de Lentes para Garantia - Visolab;Documentos;;2024-07-17;2024-07-19;2026-07-20;2026-10-19;Visolab;Jaldo Reis;Sim;;
DOC.095;Gabarito de Direcionamento - Prisma;Documentos;;2024-07-25;2024-07-30;2026-07-30;2026-10-29;00-Controle de Processo e DSPC;Renan Barbosa;Sim;;
DOC.101;Organograma - Visolab;Documentos;;2024-08-20;2024-08-20;2026-08-20;2026-11-18;Visolab;Jaldo Reis;Sim;;
DOC.102;Organograma - Ceditop;Documentos;1;2025-09-27;2025-09-30;2026-09-30;2026-12-29;Ceditop;Leticia Santos;Sim;;
DOC.103;Codificação_Padrão DIG;Documentos;;2024-11-18;2024-11-22;2025-11-22;2026-02-20;Produtos e Informações;Lucineide Pereira;Sim;;
DOC.104;Processo em Casos de Emergência - Ceditop;Documentos;;2024-12-12;2025-02-18;2026-02-18;2026-05-19;Ceditop;Gislaine Teixeira Nobre;Sim;;
DOC.106;Gabarito de Utlização de Blue Tape - Fitadeira Manual;Documentos;;2025-02-12;2025-06-10;2026-06-10;2026-09-08;00-Geral;Silvano Silva;Sim;;
DOC.107;Política de Estoque - Repro;Documentos;;2025-02-12;2025-02-12;2026-02-12;2027-01-21;Repro;Laura Vaz;Sim;;
DOC.108;Softwares para Validação - Lab Rio;Documentos;;2025-05-01;2025-06-05;2026-06-05;2026-09-03;LabRio;Renan Barbosa;Sim;;
DOC.109;Critério de Conformidade Cosmética - Lentes Stellest - Lab Rio;Documentos;;2025-05-01;2025-05-15;2026-05-15;2026-08-13;LabRio;Renan Barbosa;Sim;;
DOC.110;Procedimento para armações Danificadas - Visolab;Documentos;;2025-05-22;2025-05-29;2026-05-29;2026-08-27;Visolab;Lealdo dos Santos;Sim;;
DOC.111;Softwares para Validação - Visolab;Documentos;;2025-06-09;2025-06-25;2026-06-25;2026-09-23;Visolab;Evany Rabelo;Sim;;
DOC.113;Organograma - Technopark;Documentos;;2025-08-08;2025-09-04;2026-09-04;2026-12-03;Technopark;Rodrigo Lima;Sim;;
DOC.114;Leitura do Pedido de Defeito e Quebra no Estoque - Repro;Documentos;;2025-08-28;2025-08-29;2026-08-29;2026-11-27;Repro;Debora Rocha;Sim;;
DOC.115;Bases Diferentes no Estoque - Repro;Documentos;;2025-08-28;2025-08-29;2026-08-29;2026-11-27;Repro;Debora Rocha;Sim;;
DOC.116;Avaliação de Conferência Óptica - Lab Rio;Documentos;;2025-09-24;2025-09-30;2026-09-30;2026-12-29;LabRio;Renan Barbosa;Sim;;
DOC.117;Avaliação de Conferência de Montagem - Lab Rio;Documentos;;2025-09-24;2025-09-29;2026-09-29;2026-12-28;LabRio;Renan Barbosa;Sim;;
DOC.118;Avaliação de FOG-ID para Lentes com Antirreflexo Crizal e No Reflex - Lab Rio;Documentos;;2025-10-08;2025-10-13;2026-10-13;2027-01-11;LabRio;Renan Barbosa;Sim;;
DOC.EHS.011;EPI's Coating;EHS;3;2023-12-15;2023-12-15;2025-12-14;2026-03-14;EPI's;Caroline Oliveira;Sim;EHS;EPI - Importância do Uso Correto dos Equipamentos
DOC.EHS.012;EPI's Estoque;EHS;2;2023-12-15;2023-12-15;2025-12-14;2026-03-14;EPI's;Caroline Oliveira;Sim;EHS;EPI - Importância do Uso Correto dos Equipamentos
DOC.EHS.013;EPI's Manutenção;EHS;2;2023-12-15;2023-12-15;2025-12-14;2026-03-14;EPI's;Caroline Oliveira;Sim;EHS;EPI - Importância do Uso Correto dos Equipamentos
DOC.EHS.014;EPI's Setor Limpeza;EHS;2;2023-12-15;2023-12-15;2025-12-14;2026-03-14;EPI's;Caroline Oliveira;Sim;EHS;EPI - Importância do Uso Correto dos Equipamentos
DOC.EHS.015;EPI's Montagem;EHS;2;2023-12-15;2023-12-15;2025-12-14;2026-03-14;EPI's;Caroline Oliveira;Sim;EHS;EPI - Importância do Uso Correto dos Equipamentos
DOC.EHS.016;EPI's Coloração;EHS;2;2023-12-15;2023-12-15;2025-12-14;2026-03-14;EPI's;Caroline Oliveira;Sim;EHS;EPI - Importância do Uso Correto dos Equipamentos
DOC.EHS.017;EPI's Surfaçagem;EHS;2;2023-12-15;2023-12-15;2025-12-14;2026-03-14;EPI's;Caroline Oliveira;Sim;EHS;EPI - Importância do Uso Correto dos Equipamentos
DOC.EHS.018;EPI;EHS;2;2024-05-07;2024-05-10;2026-05-11;2026-08-10;EPI's;Guilherme Rosa;Sim;EHS;EPI - Importância do Uso Correto dos Equipamentos
DOC.EHS.019;Qualificação Ambiental em Fornecedores e Prestadores de Serviços;EHS;;2021-04-09;2021-07-22;2025-10-13;2025-12-29;Gestão de Resíduos;Aleksander Oliveira;Sim;EHS;#GESTÃO DE RESÍDUOS
DOC.EHS.020;Procedimento Gestão de Resíduos;EHS;2;2023-09-22;2023-09-25;2025-09-24;2025-12-23;Gestão de Resíduos;Aleksander Oliveira;Sim;EHS;Gerenciamento de Resíduos
DOC.EHS.024;Circular Interna de Implantação do PPR;EHS;;2021-09-27;2021-12-07;2026-05-20;2026-08-20;Programa de Proteção Respiratória;Fabricio Cunha;Sim;EHS;#Programa de Proteção Respiratória
DOC.EHS.025;Limpeza, Higienização e Manutenção;EHS;;2021-09-27;2021-12-07;2026-05-20;2026-08-20;Programa de Proteção Respiratória;Fabricio Cunha;Sim;EHS;#Programa de Proteção Respiratória
DOC.EHS.026;Troca de Filtros;EHS;;2021-09-27;2021-12-07;2026-05-20;2026-08-21;Programa de Proteção Respiratória;Fabricio Cunha;Sim;EHS;#Programa de Proteção Respiratória
DOC.EHS.029;Modelo de Programa de Proteção Respiratória;EHS;;2021-09-28;2021-12-07;2026-05-20;2026-08-20;Programa de Proteção Respiratória;Fabricio Cunha;Sim;EHS;#Programa de Proteção Respiratória
DOC.EHS.030;Avaliação Química da Concentração dos Contaminantes;EHS;;2021-09-28;2021-12-07;2026-05-22;2026-08-21;Programa de Proteção Respiratória;Fabricio Cunha;Sim;EHS;#Programa de Proteção Respiratória
DOC.EHS.031;Procedimento de Limpeza nos Bebedouros;EHS;;2021-09-28;2021-12-07;2026-05-20;2026-08-20;Higienização;Aleksander Oliveira;Sim;EHS;Procedimento de Limpeza nos Bebedouros
DOC.EHS.032;Gestão de Contratados;EHS;;2021-09-28;2021-12-07;2026-05-20;2026-08-20;Prestadores de Serviço;Aleksander Oliveira;Sim;EHS;Gestão de Contratados
DOC.EHS.033;Programa de Proteção Respiratória;EHS;1;2024-04-17;2024-08-22;2026-08-21;2026-11-19;Programa de Proteção Respiratória;Fabricio Cunha;Sim;EHS;Programa de Proteção Respiratória
DOC.EHS.034;Política do Papel Ambientalmente Responsável;EHS;;2021-10-18;2021-10-21;2026-01-19;2026-04-19;Gestão de Resíduos;Caroline Oliveira;Sim;EHS;Política do Papel Ambientalmente Responsável
DOC.EHS.035;Formulário de Aprovação de Produtos Químicos;EHS;;2021-11-25;2021-11-25;2026-02-17;2026-05-15;Produtos Químicos;Patrícia Tozzi;Sim;EHS;Gestão de Produtos Químicos
DOC.EHS.036;Tabela de Incompatibilidade Química;EHS;;2021-11-25;2021-11-25;2026-02-17;2026-05-15;Produtos Químicos;Patrícia Tozzi;Sim;EHS;Gestão de Produtos Químicos
DOC.EHS.037;Lista de Produtos Químicos Aprovados;EHS;;2021-11-25;2021-11-25;2026-02-17;2026-05-15;Produtos Químicos;Patrícia Tozzi;Sim;EHS;Gestão de Produtos Químicos
DOC.EHS.038;Inventário de Produtos Químicos;EHS;;2021-11-25;2021-11-25;2026-02-17;2026-05-15;Produtos Químicos;Patrícia Tozzi;Sim;EHS;Gestão de Produtos Químicos
DOC.EHS.039;Gestão de Produtos Químicos;EHS;;2021-11-25;2021-11-25;2026-02-17;2026-05-15;Produtos Químicos;Patrícia Tozzi;Sim;EHS;Gestão de Produtos Químicos
DOC.EHS.040;Bloqueio e Etiquetagem - LOTO;EHS;;2021-12-28;2021-12-28;2026-06-09;2026-09-08;LOTO - Bloqueio e Etiquetagem;Rodrigo Braga;Sim;EHS;LOTO
DOC.EHS.041;Análise de Riscos;EHS;;2021-12-28;2021-12-28;2026-06-09;2026-09-08;Análise de Riscos;Rodrigo Braga;Sim;EHS;#Análise de Riscos
DOC.EHS.042;Plano de Atendimento a Emergência - PAE;EHS;1;2021-12-28;2021-12-28;2026-06-09;2026-09-08;PAE - Plano de Atendimento a Emergência;Rodrigo Braga;Sim;EHS;Treinamento PAE
DOC.EHS.043;Trabalhos Perigosos;EHS;;2021-12-28;2022-02-23;2026-07-27;2026-10-26;Trabalhos Perigosos;Rodrigo Braga;Sim;EHS;TRABALHOS PERIGOSOS
DOC.EHS.044;Comunicação de Acidentes;EHS;;2021-12-28;2021-12-28;2026-06-09;2026-09-08;Comunicações de Acidentes;Rodrigo Braga;Sim;EHS;Prevenção e Report de Acidentes + Comunicação e Investigação de Acidentes
DOC.EHS.045;Segurança em Máquinas e Equipamentos - EMS;EHS;;2021-12-28;2022-02-10;2026-02-09;2026-05-10;EMS - Segurança em Máquinas e Equipamentos;Rodrigo Braga;Sim;EHS;Proteção em Máquinas e Equipamentos
DOC.EHS.046;Checklist - LOTO;EHS;;2023-03-10;2023-11-08;2025-11-07;2026-02-05;LOTO - Bloqueio e Etiquetagem;Rodrigo Braga;Sim;EHS;#LOTO
DOC.EHS.047;Instrução de Bloqueio e Etiquetagem - LOTO;EHS;;2023-03-10;2023-11-08;2025-11-07;2026-02-05;LOTO - Bloqueio e Etiquetagem;Rodrigo Braga;Sim;EHS;#LOTO
DOC.EHS.048;Guia Classificação de Resíduos MTR;EHS;1;2024-05-06;2024-05-06;2026-05-06;2026-08-05;Gestão de Resíduos;Ryan Alves da Silva;Sim;EHS;#Guia Classificação de Resíduos MTR
DOC.EHS.049;EPI's EQC;EHS;;2023-12-15;2023-12-15;2025-12-14;2026-03-14;EPI's;Caroline Oliveira;Sim;EHS;#EPI - Importância do Uso Correto dos Equipamentos
DOC.EHS.050;EPI's SPIN;EHS;;2023-12-15;2023-12-15;2025-12-14;2026-03-14;EPI's;Caroline Oliveira;Sim;EHS;#EPI - Importância do Uso Correto dos Equipamentos
DOC.EHS.051;EPI's Serviços Técnicos e STL;EHS;;2023-12-15;2023-12-15;2025-12-14;2026-03-14;EPI's;Caroline Oliveira;Sim;EHS;#EPI - Importância do Uso Correto dos Equipamentos
DOC.EHS.052;Ordem de Serviços - Área Administrativa;EHS;;2024-01-31;2024-03-20;2026-06-09;2026-09-08;Ordens de Serviços;Guilherme Rosa;Sim;;
DOC.EHS.053;Ordem de Serviços - Teleatendimento;EHS;;2024-01-31;2024-03-20;2026-06-09;2026-09-08;Ordens de Serviços;Guilherme Rosa;Sim;;
DOC.EHS.054;Ordem de Serviços - Surfaçagem;EHS;;2024-01-31;2024-08-22;2026-08-21;2026-11-19;Ordens de Serviços;Guilherme Rosa;Sim;;
DOC.EHS.055;Ordem de Serviços - Manutenção Industrial;EHS;;2024-01-31;2024-03-20;2026-06-09;2026-09-08;Ordens de Serviços;Guilherme Rosa;Sim;;
DOC.EHS.056;Ordem de Serviços - Setor Limpeza (Serviços Gerais);EHS;;2024-01-31;2024-03-20;2026-06-09;2026-09-08;Ordens de Serviços;Guilherme Rosa;Sim;;
DOC.EHS.057;Ordem de Serviços - Estoque;EHS;;2024-01-31;2024-03-20;2026-06-09;2026-09-08;Ordens de Serviços;Guilherme Rosa;Sim;;
DOC.EHS.058;Ordem de Serviços - Produção (Coating);EHS;;2024-01-31;2024-03-20;2026-06-09;2026-09-08;Ordens de Serviços;Guilherme Rosa;Sim;;
DOC.EHS.059;Ordem de Serviços - Manutenção Predial;EHS;;2024-01-31;2024-10-08;2025-10-08;2026-01-06;Ordens de Serviços;Guilherme Rosa;Sim;;
DOC.EHS.060;Ordem de Serviços - Produção (Coloração);EHS;1;2024-04-08;2024-10-08;2025-10-08;2026-01-06;Ordens de Serviços;Guilherme Rosa;Sim;;
DOC.EHS.061;Ordem de Serviços - Produção (SPIN);EHS;;2024-01-31;2024-10-08;2025-10-08;2026-01-06;Ordens de Serviços;Guilherme Rosa;Sim;;
DOC.EHS.062;Ordem de Serviços - Serviços Técnicos e STL;EHS;;2024-01-31;2024-03-12;2026-05-20;2026-08-20;Ordens de Serviços;Guilherme Rosa;Sim;;
DOC.EHS.063;Ordem de Serviços - Produção (Montagem);EHS;;2024-01-31;2024-03-12;2026-05-20;2026-08-20;Ordens de Serviços;Guilherme Rosa;Sim;;
FOR.002;Auditoria 5S de Limpeza e Organização;Formulário;2;2022-05-12;2022-05-23;2025-10-18;2026-01-19;07-MELHORIA CONTÍNUA;Taís Flores;Sim;QUALIDADE;5S
FOR.006;Inspeção e Testes de Recebimento de Insumos;Formulário;7;2024-05-28;2024-06-03;2026-06-03;2026-09-02;Estoque / Expedição;Lucineide Pereira;Sim;HMC;Primer e Vernizes
FOR.007;Controle de Troca de Lentes com Defeito de Fábrica;Formulário;3;2023-08-04;2024-01-31;2026-05-25;2026-05-25;Estoque / Expedição;Lucineide Pereira;Sim;;
FOR.020;;;;;;;;;;;;
FOR.021;;;;;;;;;;;;
FOR.022;;;;;;;;;;;;
FOR.025;;;;;;;;;;;;
FOR.027;;;;;;;;;;;;
FOR.028;;;;;;;;;;;;
FOR.031;;;;;;;;;;;;
FOR.033;Lista de Presença de Treinamento;Formulário;7;2023-12-05;2024-02-05;2026-05-20;2026-08-20;Treinamento;Taís Flores;Sim;QUALIDADE;Treinamentos
FOR.050;;;;;;;;;;;;
FOR.051;;;;;;;;;;;;
FOR.055;;;;;;;;;;;;
FOR.060;;;;;;;;;;;;
FOR.062;;;;;;;;;;;;
FOR.064;;;;;;;;;;;;
FOR.065;;;;;;;;;;;;
FOR.066;;;;;;;;;;;;
FOR.071;Formulário RNC - Relatório de Não Conformidade;Formulário;5;2023-08-25;2023-08-30;2026-08-28;2026-11-27;Qualidade;Taís Flores;Sim;QUALIDADE;QUALIDADE
FOR.080;Formulário Surfaçagem - PCP Latam Português - Lab Geral;Formulário;15;2025-03-06;2025-03-11;2026-03-11;2026-06-09;00-Controle de Processo e DSPC;Nathália Brandão;Sim;SURFAÇAGEM;PCP
FOR.081;Formulário HMC - PCP Latam Português - Lab Geral;Formulário;6;2025-02-10;2025-03-20;2026-03-20;2026-06-18;00-Controle do Processo HMC;Nathália Brandão;Sim;HMC;PCP
FOR.085;Análise da Pinça do Gerador;Formulário;3;2020-11-18;2021-03-24;2026-08-11;2026-11-10;00-Controle de Processo e DSPC;Taís Flores;Sim;SURFAÇAGEM;Corte
FOR.086;Análise da pinça do Laser;Formulário;3;2020-11-18;2021-03-24;2026-08-11;2026-11-10;00-Controle de Processo e DSPC;Taís Flores;Sim;MAN. SURF.;0
FOR.087;Análise da pinça do Microscópio;Formulário;4;2020-11-18;2021-03-24;2026-08-10;2026-11-09;00-Controle de Processo e DSPC;Taís Flores;Sim;SURFAÇAGEM;PROCESSOS
FOR.088;Análise da pinça do CLBS2;Formulário;1;2020-11-18;2021-03-24;2026-08-18;2026-11-16;00-Controle de Processo e DSPC;Taís Flores;Sim;SURFAÇAGEM;Blocagem
FOR.090;Formulário de Limpeza - SatisLoh 1200;Formulário;1;2024-03-05;2024-04-16;2026-04-16;2026-07-15;1200;Deyved Silva;Sim;HMC;Antirreflexo
FOR.091;Formulário de Limpeza - Boxer;Formulário;;2020-12-23;2021-05-24;2025-10-07;2025-12-07;Boxer PRO;Humberto Serra - Lab Rio;Sim;;
FOR.092;Controle de Treinamento;Formulário;2;2023-10-13;2024-02-05;2026-05-20;2026-08-20;Treinamento;Taís Flores;Sim;QUALIDADE;Treinamentos
FOR.093;Mapa de Gestão dos Resíduos;Formulário;1;2023-09-22;2023-09-25;2025-09-24;2025-12-23;Gestão de Resíduos;Aleksander Oliveira;Sim;;
FOR.094;Controle de Saída de Resíduos;Formulário;;2021-04-09;2021-04-12;2025-10-13;2025-12-29;Gestão de Resíduos;Aleksander Oliveira;Sim;;
FOR.095;Contratação - Transportador;Formulário;;2021-04-09;2021-04-12;2025-10-13;2025-12-29;Gestão de Resíduos;Aleksander Oliveira;Sim;;
FOR.096;Contratação - Receptor;Formulário;;2021-04-09;2021-04-12;2025-10-13;2025-12-29;Gestão de Resíduos;Aleksander Oliveira;Sim;;
FOR.097;Inspeção de Veículos;Formulário;;2021-04-09;2021-04-12;2025-10-13;2025-12-29;Gestão de Resíduos;Aleksander Oliveira;Sim;;
FOR.098;Prestadores de Serviço;Formulário;;2021-04-09;2021-04-12;2025-10-13;2025-12-29;Gestão de Resíduos;Aleksander Oliveira;Sim;;
FOR.099;Formulário de Qualificação De Fornecedores e/ou Prestadores De Serviços;Formulário;;2021-04-09;2021-07-22;2025-10-13;2025-12-29;Gestão de Resíduos;Aleksander Oliveira;Sim;;
FOR.100;Avaliação de Aspecto e Impacto Ambiental;Formulário;;2021-04-19;2021-04-20;2025-10-13;2025-12-29;Aspecto e Impacto Ambiental;Patrícia Tozzi;Sim;;
FOR.101;Formulário de Limpeza - Syrus;Formulário;1;2024-03-05;2024-04-16;2026-04-16;2026-07-15;Syrus 3C;Deyved Silva;Sim;;
FOR.104;ALTIUS DRIVING TOOL- Máquina CCM;Formulário;4;2021-04-23;2021-05-05;2026-05-19;2026-08-18;00-Controle do Processo HMC;Taís Flores;Sim;HMC;0
FOR.106;Formulário 8D - Método para Solução de Problemas;Formulário;2;2023-08-29;2024-05-14;2026-05-14;2026-08-13;Solução de Problemas;Lucineide Pereira;Sim;;
FOR.107;Formulário Montagem - PCP Latam - Lab Geral;Formulário;8;2024-09-30;2024-09-30;2025-09-30;2026-12-22;00 - Controle de Processo;Nathália Brandão;Sim;MONTAGEM;PCP
FOR.109;Matriz de Habilidade;Formulário;5;2023-09-12;2023-09-13;2026-05-20;2026-08-20;Treinamento;Taís Flores;Sim;QUALIDADE;Treinamentos
FOR.114;Formulário A3  - Método para Solução de Problemas;Formulário;2;2024-09-19;2025-05-30;2026-05-30;2026-08-28;Solução de Problemas;Lucineide Pereira;Sim;;
FOR.116;Testes HC - Monitoramento Primer e Verniz;Formulário;11;2025-10-23;2025-10-31;2026-10-31;2027-01-29;Testes HC;Leonardo Pennetta;Sim;HMC;Teste de Qualidade HC
FOR.118;Nomeação RD;Formulário;1;2022-09-29;2022-09-29;2025-09-29;2025-12-28;Qualidade;Taís Flores;Sim;QUALIDADE;QUALIDADE
FOR.120;Formulário - Permissão de Trabalho;Formulário;;2021-07-26;2021-07-27;2025-10-13;2025-12-29;Prestadores de Serviço;Patrícia Tozzi;Sim;;
FOR.121;Modelo Recibo de EPI;Formulário;1;2023-02-17;2023-03-17;2026-05-20;2026-08-20;EPI's;Rodrigo Braga;Sim;EHS;#EPI - Importância do Uso Correto dos Equipamentos
FOR.122;Controle de Umidade e Temperatura: Estoque;Formulário;;2021-08-24;2021-09-10;2025-09-10;2025-12-09;Estoque / Expedição;Taís Flores;Sim;QUALIDADE;ESTOQUE
FOR.123;Agenda de Auditoria;Formulário;1;2022-12-15;2022-12-22;2026-06-09;2026-09-08;Qualidade;Nathália Brandão;Sim;QUALIDADE;AUDITORIA
FOR.124;Etiquetas de Validação de Primer e Verniz;Formulário;4;2024-07-24;2024-07-24;2026-07-24;2026-10-23;Estoque / Expedição;Nathália Brandão;Sim;HMC;Primer e Vernizes
FOR.125;Etiqueta Composição Quimica - Primer e Verniz - EHS;Formulário;3;2024-09-03;2024-10-08;2025-10-08;2026-01-06;Estoque / Expedição;Nathália Brandão;Sim;HMC;Primer e Vernizes
FOR.126;Análise de Modos de Falhas e Efeitos (FMEA);Formulário;6;2024-10-24;2024-11-26;2025-11-26;2026-02-24;Qualidade;Nathália Brandão;Sim;QUALIDADE;QUALIDADE
FOR.127;Avaliação e Seleção de Fornecedor;Formulário;7;2023-12-14;2024-02-27;2026-05-20;2026-08-26;Qualidade;Nathália Brandão;Sim;QUALIDADE;FORNECEDOR
FOR.128;Controle de Higienização dos Bebedouros;Formulário;;2021-09-27;2021-12-07;2026-05-27;2026-08-27;Higienização;Aleksander Oliveira;Sim;;
FOR.129;Formulário de Análise de Acidente e Incidente do Trabalho;Formulário;;2021-09-28;2021-12-07;2026-05-20;2026-08-20;Programa de Proteção Respiratória;Fabricio Cunha;Sim;;
FOR.130;Guia de Avaliação do Programa de Proteção Respiratória;Formulário;;2021-09-28;2021-12-07;2026-05-20;2026-08-20;Programa de Proteção Respiratória;Fabricio Cunha;Sim;;
FOR.131;Registro de Ensaio de Vedação Qualitativo;Formulário;;2021-09-28;2021-12-07;2026-05-20;2026-08-20;Programa de Proteção Respiratória;Fabricio Cunha;Sim;;
FOR.132;Controle de Utilização do UV 400;Formulário;;2021-09-28;2021-11-03;2026-07-07;2026-10-06;04-COLORAÇÃO;Taís Flores;Sim;COLORAÇÃO;COLORAÇÃO
FOR.133;Planejamento de Treinamento;Formulário;1;2023-12-14;2024-01-31;2026-05-20;2026-08-20;Treinamento;Nathália Brandão;Sim;QUALIDADE;Treinamentos
FOR.134;Plano de Ação;Formulário;2;2023-05-03;2023-05-03;2026-07-20;2026-10-19;Solução de Problemas;William Karasiaki;Sim;;
FOR.135;Relatório de Revisão Gerencial;Formulário;3;2023-05-04;2023-05-05;2026-05-04;2026-08-03;Qualidade;Nathália Brandão;Sim;QUALIDADE;QUALIDADE
FOR.136;Reavaliação de Fornecedor;Formulário;6;2023-12-14;2024-02-27;2026-05-20;2026-08-20;Qualidade;Nathália Brandão;Sim;QUALIDADE;FORNECEDOR
FOR.137;Relatório de Gestão de Mudança;Formulário;5;2024-03-18;2024-03-20;2026-06-09;2026-09-08;Qualidade;Taís Flores;Sim;QUALIDADE;QUALIDADE
FOR.139;Controle de Calibração e Verificação;Formulário;1;2023-05-23;2023-06-27;2026-06-26;2026-09-25;00.Geral;Lucineide Pereira;Sim;QUALIDADE;CALIBRAÇÃO
FOR.140;Relatório de Auditoria Interna;Formulário;1;2022-12-15;2022-12-22;2026-06-09;2026-09-08;Qualidade;Taís Flores;Sim;QUALIDADE;AUDITORIA
FOR.141;Auto Avaliação;Formulário;2;2022-04-20;2022-04-26;2026-05-20;2026-08-19;Treinamento;Lucineide Pereira;Sim;QUALIDADE;Treinamentos
FOR.142;Avaliação de Eficácia do Treinamento;Formulário;1;2022-02-16;2022-02-21;2026-05-20;2026-08-20;Treinamento;Lucineide Pereira;Sim;QUALIDADE;Treinamentos
FOR.143;Formulário de Check List da Auditoria ISO 13485;Formulário;1;2022-11-18;2022-12-05;2026-05-02;2026-08-02;Qualidade;Nathália Brandão;Sim;QUALIDADE;AUDITORIA
FOR.145;Formulário GMR KPIs - Acompanhamento Semanal;Formulário;;2021-12-28;2021-12-28;2022-12-28;2025-12-06;Acompanhamento de Resultados;Lucineide Pereira;Sim;;
FOR.147;Formulário - Workplace Risk Assessment;Formulário;;2021-12-28;2021-12-28;2026-06-09;2026-09-08;Análise de Riscos;Rodrigo Braga;Sim;;
FOR.148;Monitoramento Anual de Desempenho de Fornecedor;Formulário;5;2023-06-28;2023-07-03;2026-07-02;2026-10-01;Qualidade;Nathália Brandão;Sim;QUALIDADE;FORNECEDOR
FOR.149;Formulário SPIN - Português - Lab Geral;Formulário;2;2025-04-10;2025-05-12;2026-05-12;2026-08-10;05-SPIN;Nathália Brandão;Sim;SPIN;SPIN
FOR.150;Plano de Manutenção Preventiva - Laboratório Industrial;Formulário;2;2025-02-14;2025-03-20;2026-03-20;2026-06-18;00-Geral;Lucas Silva;Sim;;
FOR.151;Análise Crítica do Certificado de Calibração;Formulário;1;2023-06-02;2023-06-27;2026-06-26;2026-09-25;00.Geral;Nathália Brandão;Sim;;
FOR.152;Etiqueta de Calibração;Formulário;1;2023-08-10;2023-08-15;2026-08-14;2026-11-12;00.Geral;Taís Flores;Sim;;
FOR.153;Formulário de Calibração do Lensômetro;Formulário;1;2022-04-14;2023-06-27;2026-06-26;2026-09-25;Lensômetro;Lucas Silva;Sim;;
FOR.155;Controle de Temperatura de Armazenamento: Primers e Vernizes;Formulário;2;2024-05-27;2024-06-03;2026-06-03;2026-09-02;Estoque / Expedição;Lucineide Pereira;Sim;HMC;Primer e Vernizes
FOR.157;Controle do Kit de Calibração do SMR;Formulário;;2022-05-27;2022-10-18;2025-10-18;2026-01-19;Testes AR;Taís Flores;Sim;HMC;"Antirreflexo:
Ajustes de Processo"
FOR.159;Validação de Software;Formulário;1;2023-11-16;2024-03-07;2026-05-29;2026-08-28;Qualidade;Nathália Brandão;Sim;QUALIDADE;TI
FOR.161;Requisição de Compras;Formulário;3;2024-03-20;2024-07-24;2026-07-24;2026-10-23;Compras;Benicio Souza;Sim;;
FOR.162;Controle de Temperatura (DataLogger) de Armazenamento - Primers e Vernizes - Repro;Formulário;1;2024-05-28;2024-06-03;2026-06-03;2026-09-02;Repro;Laura Vaz;Sim;;
FOR.164;Controle Anual dos Registros;Formulário;;2023-01-26;2023-01-30;2026-01-30;2026-04-29;Solução de Problemas;Taís Flores;Sim;;
FOR.166;Carta de Esclarecimento;Formulário;;2023-03-21;2023-03-21;2026-06-09;2026-09-08;Laudos;Taís Flores;Sim;;
FOR.167;Cronograma de Auditoria;Formulário;;2023-05-11;2023-05-18;2026-05-17;2026-08-17;Qualidade;Taís Flores;Sim;;
FOR.169;Avaliação do Auditor Interno de QMS;Formulário;;2023-05-12;2023-05-18;2026-05-18;2026-08-17;Qualidade;Taís Flores;Sim;QUALIDADE;AUDITORIA
FOR.170;Interpolação e Correção;Formulário;;2023-06-05;2023-06-27;2026-06-26;2026-09-25;00.Geral;Taís Flores;Sim;;
FOR.171;Alterações de Aquisição - Português;Formulário;;2023-06-05;2023-08-02;2025-10-18;2026-01-19;Qualidade;Taís Flores;Sim;;
FOR.172;Alterações de Aquisição - Inglês;Formulário;;2023-06-05;2023-08-02;2025-10-18;2026-01-19;Qualidade;Taís Flores;Sim;;
FOR.173;Checklist de Envio de Equipamento;Formulário;1;2023-08-21;2023-08-21;2026-08-20;2026-11-18;00.Geral;Renan Barbosa;Sim;;
FOR.174;Reembolso - Quebra de Armação - Technopark;Formulário;1;2024-10-25;2024-10-28;2025-10-28;2026-01-26;Technopark;Fabrina Souza;Sim;;
FOR.175;Plano de Manutenção Preventiva - Básico;Formulário;;2023-06-15;2023-06-27;2026-06-26;2026-09-25;00-Geral;Lucas Silva;Sim;;
FOR.177;Requisição de Serviços - digiTOP;Formulário;2;2024-03-26;2024-04-02;2026-07-01;2026-09-30;digiTOP;Nickolle Rodrigues;Sim;;
FOR.179;Controle da Entrega de Produtos recebidos aos colaboradores - Grown;Formulário;;2023-07-18;2023-09-11;2025-09-10;2025-12-09;Grown;Sonia Lima;Sim;;
FOR.180;Auditoria de Produto - Qualidade Intrínseca;Formulário;1;2024-11-18;2024-11-22;2025-11-22;2026-02-20;Auditoria de Produto;Lucineide Pereira;Sim;QUALIDADE;AUDITORIA DE PRODUTO
FOR.181;Auditoria de Produto - GIB&BIG;Formulário;1;2024-11-18;2024-11-22;2025-11-22;2026-02-20;Auditoria de Produto;Lucineide Pereira;Sim;QUALIDADE;AUDITORIA DE PRODUTO
FOR.182;Etiquetas de Cartões - Quadro PCP;Formulário;;2023-09-01;2023-09-21;2025-09-20;2025-12-19;07-MELHORIA CONTÍNUA;Gabriely Gonçalves;Sim;;
